AreaID,Max EER,Min Elec,Min Gas,Min Emissions
1,76.96969696969694,2549.306720945455,1699.5378139636364,1889.941926460606
2,82.54545454545453,2240.746806354727,1493.831204236485,1665.3730358551516
3,75.42424242424244,3094.9557978472726,2063.3038652315154,2367.3895422121213
4,76.6060606060606,2866.0090283199993,1910.672685546667,2069.4448682121215
5,82.18181818181819,2005.9190165581822,1337.2793443721214,1505.9648303333336
6,78.8181818181818,2629.835789258182,1753.223859505455,1893.3517897909096
7,79.81818181818184,3654.7471291235634,2436.498086082376,2387.2215081432732
8,76.0909090909091,2887.1141492309093,1924.7427661539396,2249.5162973787887
9,79.75757575757578,4314.462592652726,2876.308395101819,2728.4344277393943
10,77.6969696969697,2623.1884436890905,1748.7922957927278,1987.3571454966673
11,76.27272727272728,3627.8893157618177,2418.592877174546,2617.482788087879
12,79.06060606060606,3419.601649283636,2279.7344328557583,2125.0822519303033
13,79.48484848484848,2650.038582387272,1766.6923882581827,1963.5060708460608
14,77.15151515151516,2850.7357171363633,1900.4904780909096,2107.5224677551514
15,75.81818181818181,3762.357384081818,2508.2382560545457,2364.9263857915153
16,78.57575757575758,3019.009295393817,2012.672863595879,1955.2837008236363
17,76.36363636363636,3320.388384406364,2213.5922562709097,2373.914821098485
18,77.54545454545455,2750.1163957563645,1833.410930504243,2214.1074262606066
19,77.12121212121211,2518.3194307745453,1678.8796205163635,1961.1825999515152
20,75.12121212121212,4001.988156883636,2667.992104589091,2914.694397227273
21,75.27272727272728,3647.6113202254546,2431.7408801503034,2556.4749938045456
22,74.99999999999997,3493.4998015563633,2328.9998677042427,2560.616910173333
23,76.45454545454545,4162.677753454545,2775.1185023030316,2620.9245154424243
24,76.33333333333334,3459.506834418182,2306.337889612121,2377.7771539181817
25,76.7878787878788,4089.8559717490925,2726.5706478327274,2424.5768816727273
26,76.06060606060608,4103.308296363637,2735.5388642424246,2499.405385957576
27,79.66666666666666,3520.6153098708364,2347.0768732472243,2597.447349649334
28,78.45454545454544,2429.6467240927273,1619.7644827284848,1799.483356248485
29,77.21212121212122,3630.7105409298174,2420.4736939532118,2420.0980866930313
30,78.84848484848486,2732.570261221818,1821.7135074812122,1946.0405908245452
31,78.27272727272728,3122.727535098182,2081.818356732121,2390.7980039696977
32,79.03030303030306,2968.4124500490916,1978.9416333660606,2107.2419851818186
33,78.0,2904.5031755054542,1936.3354503369696,2172.2415506727284
34,77.57575757575758,2652.14491968,1768.09661312,2099.7326836303037
35,79.66666666666666,3619.1979351600007,2412.79862344,2336.1259958727273
36,78.84848484848483,3283.7145023197095,2189.143001546473,2249.7871402195155
37,76.6060606060606,2884.1469633272727,1922.764642218182,2198.496421063636
38,77.0,3657.3575875454558,2438.23839169697,2322.5062726484844
39,77.33333333333331,3489.1367349418174,2326.091156627879,2351.952575745455
40,75.33333333333333,3935.3596266345457,2623.573084423031,2790.6560353551513
41,81.15151515151514,3158.299614102727,2105.533076068485,2078.3419631353336
42,78.36363636363636,2856.3353560125456,1904.22357067503,1975.3758559390906
43,77.6060606060606,3664.922865189091,2443.2819101260607,2486.138206424242
44,77.75757575757576,2708.214859549091,1805.476573032727,2175.435313457576
45,76.66666666666666,2692.831708752909,1795.2211391686067,1988.6914972096972
46,78.78787878787877,3943.9771070254546,2629.318071350303,2281.5645714306065
47,75.63636363636364,3099.0222259072725,2066.0148172715153,2235.2518057272723
48,80.6060606060606,2698.361997207273,1798.9079981381824,1936.5496389124244
49,75.51515151515153,3157.1237227454544,2104.74914849697,2359.3831140060597
50,75.51515151515152,3961.7506315254545,2641.1670876836374,2673.519373764546
51,77.09090909090908,3344.402285054546,2229.6015233696967,2257.305390110606
52,80.36363636363637,2918.7946662618183,1945.8631108412121,1864.7401338615152
53,75.15151515151514,4371.921205727273,2914.6141371515155,2796.2298978212125
54,81.69696969696972,2012.0344185720003,1341.356279048,1639.1353240821213
55,77.06060606060606,3770.1659580870905,2513.44397205806,2520.932283617273
56,71.48484848484848,4761.506666563636,3174.337777709091,3022.4623789696975
57,77.33333333333333,3192.9041506000003,2128.602767066667,2090.609178897273
58,75.24242424242424,3693.1105273454546,2462.0736848969705,2481.7547441242427
59,75.84848484848484,4486.592466236364,2991.061644157576,2928.6057214300004
60,77.09090909090907,3720.2507542418193,2480.1671694945453,2567.577038024243
61,78.24242424242425,3304.2732415490914,2202.848827699394,2507.701373042424
62,79.57575757575759,3770.3920309418186,2513.594687294545,2279.7327897430296
63,78.7878787878788,2801.7653193436363,1867.8435462290913,1926.4962367878786
64,74.72727272727273,4418.394573236363,2945.596382157576,2672.5257045181816
65,78.7878787878788,2264.2586437036366,1509.5057624690903,1877.345253175758
66,78.54545454545456,3148.778958721818,2099.185972481212,1956.5707493536368
67,76.60606060606062,3484.9646350454555,2323.30975669697,2473.256939997575
68,79.87878787878788,2742.354364074727,1828.2362427164849,2170.818262141212
69,78.06060606060605,2843.7394743345453,1895.8263162230305,2229.743901824242
70,77.06060606060606,3409.6636020163646,2273.1090680109087,2302.2770271333334
71,76.06060606060606,3807.5413571145464,2538.36090474303,2386.7969216000006
72,76.27272727272728,3191.33958819309,2127.5597254620607,2426.0251460106065
73,79.33333333333334,2702.9406235636366,1801.9604157090912,1954.322345878788
74,75.12121212121212,4361.127799806363,2907.418533204243,3001.3645533686667
75,78.48484848484848,2671.5037936381814,1781.0025290921212,2186.1258544515163
76,77.72727272727273,3858.2193222418177,2572.146214827879,2571.3021398363635
77,76.66666666666666,2551.360197836364,1700.9067985575757,2063.706791148485
78,79.18181818181819,2736.1734625709096,1824.11564171394,2000.8148094545456
79,81.06060606060606,3332.298284118,2221.532189412,2234.4463033466664
80,77.75757575757576,2695.1823488553814,1796.7882325702553,2184.944896858121
81,75.66666666666666,3033.82326669091,2022.548844460606,2357.0328656818187
82,79.15151515151516,2360.0288975199996,1573.3525983466673,1821.2777427387882
83,77.7878787878788,3667.437296618182,2444.958197745454,2340.8551492818183
84,79.54545454545455,2874.1210014804365,1916.080667653624,1947.3212812383028
85,73.24242424242424,5036.969099781818,3357.979399854545,3347.764903578788
86,76.7878787878788,3244.4354767581817,2162.9569845054557,2186.7089872848483
87,76.96969696969697,2914.672341714546,1943.114894476364,2250.6363730757575
88,81.96969696969698,2770.5943307018188,1847.0628871345457,1904.581737539394
89,78.06060606060608,2523.9281866854544,1682.6187911236368,1894.6966694121213
90,74.7878787878788,3234.81083516,2156.5405567733337,2510.761657039395
91,76.4848484848485,2872.9692757636362,1915.3128505090913,2295.966052924243
92,73.51515151515152,3000.7376157090903,2000.4917438060604,2328.676687939394
93,81.33333333333336,2543.758946302728,1695.8392975351517,1907.3660556995758
94,79.36363636363637,3249.7675916709086,2166.5117277806057,2058.3420793030305
95,75.75757575757575,5022.849879323637,3348.5665862157575,3115.2309529687886
96,73.12121212121212,3878.52784393091,2585.685229287273,2808.597292972728
97,78.33333333333331,3234.6949876109093,2156.46332507394,2190.507643742727
98,73.06060606060608,4092.1269883563623,2728.084658904243,2787.451176463636
99,76.72727272727272,4216.3704482054545,2810.913632136969,2622.1398389484857
100,79.87878787878788,3202.52774717091,2135.0184981139396,2036.6856169309094
101,73.54545454545453,4165.195537054546,2776.7970247030303,2824.270428321211
102,77.66666666666666,3831.2891986709083,2554.192799113939,2465.210471681818
103,74.81818181818183,4121.192472579999,2747.461648386667,2683.7365981000003
104,76.93939393939394,2751.8219922745457,1834.547994849697,2134.8440637484846
105,75.78787878787877,3679.8948585890907,2453.263239059394,2501.725663221212
106,74.90909090909089,3582.6524636545446,2388.4349757696973,2612.6581926454546
107,80.15151515151516,2819.533789205818,1879.689192803879,2037.6664775469694
108,78.0,3791.5966993800007,2527.73113292,2325.58449184
109,76.06060606060606,4172.725173400001,2781.8167822666665,2865.5637790909095
110,77.87878787878789,3410.7163983818186,2273.810932254545,2136.7154440818185
111,75.93939393939394,3476.5065366109093,2317.6710244072733,2388.4137872727274
112,77.18181818181819,3235.742248950909,2157.1614993006065,2311.1296591545456
113,81.27272727272724,2498.9740289436363,1665.9826859624243,1781.5950922272727
114,80.87878787878786,2596.0630994509083,1730.7087329672727,1942.4430389096972
115,80.60606060606062,2708.9522854963643,1805.968190330909,1830.7047818515155
116,77.75757575757574,2493.0259158981826,1662.017277265455,1938.6072850060605
117,74.93939393939394,3512.1124208872725,2341.408280591516,2710.0118448909097
118,76.63636363636363,3958.321319129091,2638.880879419394,2581.9405860999996
