TechID,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Solar1,882177.0,1764354.0,2646531.0,3528708.0,4410885.0,5293062.0,6175239.0,7057416.0,7939593.0,8821770.0,9703947.0,10586124.0,11468301.0,12350478.0,13232655.0,14114832.0,14997009.0,15879186.0,16761363.0,17643540.0,18525717.0,19407894.0,20290071.0,21172248.0,22054425.0,22936602.0,23818779.0,24700956.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
Solar2,3050.2392344497607,6279.904306220095,9270.334928229666,12500.000000000002,15550.23923444976,18779.9043062201,21830.143540669855,24760.765550239234,27930.62200956938,31100.47846889952,34090.909090909096,37081.33971291866,40131.57894736842,43062.2009569378,45992.82296650718,48923.44497607656,52093.301435406705,55083.732057416266,58193.77990430622,61244.01913875598,64294.258373205754,67464.1148325359,70574.16267942585,73564.59330143541,76315.78947368423,79366.02870813399,82476.07655502396,85466.5071770335,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657
HP1,1330741.0,2661483.0,3992224.0,5322966.0,6653708.0,7984449.0,9315191.0,10645933.0,11976674.0,13307416.0,14638157.0,15968899.0,17299641.0,18630382.0,19961124.0,21291866.0,22622607.0,23953349.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
HP2,8014.354066985646,16148.325358851675,23878.588516746415,31160.287081339713,38382.17703349283,45678.82775119617,53125.0,60930.02392344498,68151.91387559808,74835.52631578948,82401.31578947368,89428.82775119618,96964.71291866028,103857.65550239234,110959.92822966505,118735.04784688995,125792.46411483253,132595.6937799043,137858.85167464116,137500.00000000003,137126.19617224883,136647.72727272726,136124.40191387557,135720.6937799043,134973.08612440192,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154
EV1,882177.0,1764354.0,2646531.0,3528708.0,4410885.0,5293062.0,6175239.0,7057416.0,7939593.0,8821770.0,9703947.0,10586124.0,11468301.0,12350478.0,13232655.0,14114832.0,14997009.0,15879186.0,16761363.0,17643540.0,18525717.0,19407894.0,20290071.0,21172248.0,22054425.0,22936602.0,23818779.0,24700956.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
EV2,6351.6746411483255,12703.349282296651,19055.023923444976,25406.698564593302,31758.373205741627,38110.04784688995,44461.72248803828,50813.397129186604,57165.07177033493,63516.746411483255,69868.42105263157,76220.0956937799,82571.77033492822,88923.44497607656,95275.11961722487,101626.79425837321,107978.46889952153,114330.14354066986,120681.81818181816,127033.49282296651,133385.16746411484,139736.84210526315,146088.51674641148,152440.1913875598,158791.86602870811,165143.54066985645,171495.21531100478,177846.8899521531,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0
Insulation1,986842.0,1973684.0,2960526.0,3947368.0,4934210.0,5921052.0,6907894.0,7894736.0,8881578.0,9868421.0,10855263.0,11842105.0,12828947.0,13815789.0,14802631.0,15789473.0,16776315.0,17763157.0,18750000.0,19736842.0,20723684.0,21710526.0,22697368.0,23684210.0,24671052.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
Insulation2,61.24282296650718,127.32760167464114,192.77452153110045,260.23325358851673,328.45454545454544,397.7987440191388,460.80397727272725,522.9066985645934,585.1541566985646,654.1297846889951,719.2718301435406,783.5764055023924,848.264802631579,911.8954844497607,980.5145035885167,1041.2562799043062,1108.3631877990429,1170.1061602870814,1235.0348385167465,1293.1996112440193,1354.392942583732,1423.3473385167465,1491.6668660287082,1548.9908791866028,1613.4845992822966,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984
