TechID,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Solar1,1913875.0,3827751.0,5741626.0,7655502.0,9569377.0,11483253.0,13397129.0,15311004.0,17224880.0,19138755.0,21052631.0,22966507.0,24880382.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
Solar2,6758.373205741626,13516.746411483256,20334.92822966507,26794.258373205743,33433.01435406699,39772.72727272727,46291.86602870814,52990.430622009575,59629.18660287081,65909.09090909091,72667.46411483256,79366.02870813399,85944.97607655505,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657
HP1,792464.0,1584928.0,2377392.0,3169856.0,3962320.0,4754784.0,5547248.0,6339712.0,7132177.0,7924641.0,8717105.0,9509569.0,10302033.0,11094497.0,11886961.0,12679425.0,13471889.0,14264354.0,15056818.0,15849282.0,16641746.0,17434210.0,18226674.0,19019138.0,19811602.0,20604066.0,21396531.0,22188995.0,22981459.0,23773923.0,24566387.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
HP2,4709.928229665072,9509.569377990432,14249.401913875598,19004.18660287081,23848.684210526317,28453.947368421053,33208.732057416266,37514.952153110054,42254.78468899521,45648.92344497608,50089.7129186603,54336.12440191388,58552.631578947374,62709.33014354067,67299.64114832535,71845.0956937799,76510.16746411483,80681.81818181818,85092.70334928228,89249.4019138756,93450.95693779904,97966.50717703349,101390.55023923445,105622.00956937799,109375.0,113277.51196172248,117090.31100478469,121411.48325358854,125119.61722488036,129081.93779904305,132520.9330143541,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154
EV1,1375598.0,2751196.0,4126794.0,5502392.0,6877990.0,8253588.0,9629186.0,11004784.0,12380382.0,13755980.0,15131578.0,16507177.0,17882775.0,19258373.0,20633971.0,22009569.0,23385167.0,24760765.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
EV2,9904.306220095694,19808.612440191388,29712.91866028708,39617.224880382775,49521.53110047847,59425.83732057416,69330.14354066986,79234.44976076555,89138.75598086124,99043.06220095693,108947.36842105263,118851.67464114832,128755.98086124402,138660.28708133972,148564.5933014354,158468.8995215311,168373.2057416268,178277.51196172248,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0
Insulation1,807416.0,1614832.0,2422248.0,3229665.0,4037081.0,4844497.0,5651913.0,6459330.0,7266746.0,8074162.0,8881578.0,9688995.0,10496411.0,11303827.0,12111244.0,12918660.0,13726076.0,14533492.0,15340909.0,16148325.0,16955741.0,17763157.0,18570574.0,19377990.0,20185406.0,20992822.0,21800239.0,22607655.0,23415071.0,24222488.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
Insulation2,50.84046052631579,100.67389354066985,148.459778708134,204.50493421052636,260.70633971291863,316.0305023923445,369.9641148325358,425.6907894736842,482.3187799043062,531.3616925837321,588.4567882775121,638.9363038277511,692.0284090909091,745.8939892344498,799.9481160287081,852.5737141148326,906.7154605263158,959.54889354067,1015.3513755980864,1064.071172248804,1117.1430921052631,1168.9925239234449,1220.2489533492821,1273.8968301435407,1326.07879784689,1377.0065789473683,1422.9068480861245,1478.6087021531098,1526.7547846889952,1583.5508373205741,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984
