TechID,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Solar1,1913875.0,3827751.0,5741626.0,7655502.0,9569377.0,11483253.0,13397129.0,15311004.0,17224880.0,19138755.0,21052631.0,22966507.0,24880382.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
Solar2,6758.373205741626,13217.7033492823,20155.502392344497,26973.684210526313,33612.44019138756,40071.770334928224,46232.05741626794,52691.387559808616,59330.14354066986,66267.94258373206,72846.88995215311,79605.26315789476,86064.59330143544,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657,86423.44497607657
HP1,1913875.0,3827751.0,5741626.0,7655502.0,9569377.0,11483253.0,13397129.0,15311004.0,17224880.0,19138755.0,21052631.0,22966507.0,24880382.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
HP2,11333.732057416268,22188.995215311006,33089.11483253589,43436.004784688994,55113.636363636375,65968.8995215311,77287.67942583733,88456.93779904307,100254.18660287082,111109.44976076554,121755.38277511964,131833.13397129186,142464.11483253588,142882.77511961723,142494.019138756,142060.40669856462,141866.028708134,141566.98564593302,141238.03827751198,141013.75598086126,140669.85645933016,140266.14832535884,140071.77033492824,139712.9186602871,139398.92344497607,139099.88038277513,138546.6507177034,138217.70334928232,137888.75598086126,137769.13875598085,137395.33492822965,136901.91387559808,136587.9186602871,136258.97129186604,135915.07177033494,135630.98086124402,135167.46411483252,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154,134853.46889952154
EV1,1076555.0,2153110.0,3229665.0,4306220.0,5382775.0,6459330.0,7535885.0,8612440.0,9688995.0,10765550.0,11842105.0,12918660.0,13995215.0,15071770.0,16148325.0,17224880.0,18301435.0,19377990.0,20454545.0,21531100.0,22607655.0,23684210.0,24760765.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
EV2,7751.196172248804,15502.392344497608,23253.58851674641,31004.784688995216,38755.98086124402,46507.17703349282,54258.37320574163,62009.56937799043,69760.76555023923,77511.96172248803,85263.15789473684,93014.35406698564,100765.55023923445,108516.74641148325,116267.94258373206,124019.13875598086,131770.33492822965,139521.53110047846,147272.72727272726,155023.92344497607,162775.11961722487,170526.31578947368,178277.51196172248,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0
Insulation1,657894.0,1315789.0,1973684.0,2631578.0,3289473.0,3947368.0,4605263.0,5263157.0,5921052.0,6578947.0,7236842.0,7894736.0,8552631.0,9210526.0,9868421.0,10526315.0,11184210.0,11842105.0,12500000.0,13157894.0,13815789.0,14473684.0,15131578.0,15789473.0,16447368.0,17105263.0,17763157.0,18421052.0,19078947.0,19736842.0,20394736.0,21052631.0,21710526.0,22368421.0,23026315.0,23684210.0,24342105.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
Insulation2,40.73086124401914,91.26061602870813,133.63337320574163,173.0868720095694,218.67658492822966,262.24985047846894,303.1728468899521,341.2003588516747,388.73145933014354,430.9691985645933,471.44407894736844,517.2621112440191,556.9413875598086,600.7471590909091,643.1257476076555,689.9605263157895,734.375,769.2205442583733,807.9044557416267,843.7203947368421,886.4691985645933,932.4072966507177,974.9938696172251,1020.1565490430622,1063.5741626794259,1102.5082236842106,1154.2522428229663,1196.8667763157894,1238.6598385167465,1279.298145933014,1322.431519138756,1369.7326555023924,1411.6510167464114,1460.2612141148325,1504.0074760765551,1545.5485944976076,1592.080293062201,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984,1634.3639354066984
