AreaID,Max EER,Min Elec,Min Gas,Min Emissions
1,77.7878787878788,3769.574612257454,2513.0497415049695,2447.803436336667
2,78.21212121212122,3210.5778056854547,2140.3852037903034,2009.5934908112122
3,76.18181818181816,2867.3921840072726,1911.5947893381817,2066.09926110303
4,78.3030303030303,3663.877390854545,2442.584927236364,2300.4052369342426
5,75.93939393939395,3133.1221128872726,2088.748075258182,2197.977790981818
6,78.06060606060603,2553.302220503818,1702.201480335879,2007.4976046642428
7,77.30303030303031,2748.965114794545,1832.6434098630305,2182.2124914454544
8,77.7878787878788,2693.5005776216367,1795.6670517477573,2157.619858097576
9,77.39393939393939,2451.0055552363638,1634.0037034909094,2006.397868942424
10,73.7878787878788,4530.140363781817,3020.093575854545,2930.097761227273
11,76.69696969696969,2763.840871690909,1842.5605811272728,2039.3424469545455
12,77.39393939393939,3249.3950961272726,2166.2633974181826,2250.7280017363637
13,79.0,2874.5162694272726,1916.3441796181821,1881.880306078788
14,77.51515151515152,4685.417899607272,3123.611933071516,2812.4336745415153
15,73.18181818181817,3397.844148174546,2265.2294321163636,2846.5831134424243
16,77.75757575757575,3365.18150983091,2243.4543398872734,2118.3797814060604
17,78.09090909090911,2553.858797044727,1702.5725313631513,1950.2956571366672
18,75.57575757575759,3684.866040969091,2456.5773606460607,2273.576410636364
19,79.66666666666669,2752.4427942738184,1834.9618628492126,1940.109337369091
20,75.84848484848484,3298.4246560800016,2198.94977072,2218.7042002621215
21,75.78787878787878,3140.636563652727,2093.7577091018184,2163.9926113545457
22,76.09090909090907,3677.7900984072735,2451.8600656048493,2692.289448103939
23,77.18181818181817,3825.0137325563637,2550.009155037576,2265.7908489303036
24,80.30303030303031,2526.1888494654545,1684.1258996436363,1985.2354530424245
25,75.78787878787877,4150.580918254545,2767.0539455030303,2597.3785826393937
26,73.90909090909089,2912.465181483636,1941.6434543224245,2415.045131542424
27,80.03030303030305,2144.879239461818,1429.9194929745452,1742.2272179645454
28,78.00000000000003,3784.389863963636,2522.9265759757577,2355.8890616212125
29,79.3030303030303,3590.568718643636,2393.712479095758,2309.013108390303
30,81.81818181818184,2285.9364465981816,1523.9576310654545,1642.008672596364
31,78.57575757575759,2903.1490250054544,1935.4326833369698,1993.1653122463638
32,80.27272727272727,2662.278363906982,1774.8522426046547,1775.840328801333
33,79.1212121212121,2793.6446462527274,1862.429764168485,1928.3698440848484
34,78.78787878787878,2782.0702230418183,1854.7134820278795,1820.3596729851522
35,76.3030303030303,2394.8567638363634,1596.5711758909094,1880.3935291757575
36,77.93939393939394,2499.9269634658176,1666.6179756438785,1928.7913915569702
37,77.12121212121211,4072.57670830909,2715.0511388727264,2464.5085021363643
38,76.8181818181818,3098.9998253863637,2065.9998835909096,2295.522569350485
39,76.72727272727272,3070.745709238182,2047.1638061587882,2156.289404439394
40,76.57575757575756,3110.65992388,2073.773282586667,2314.641499009091
41,74.24242424242424,3752.0614258545456,2501.37428390303,2435.0365111606066
42,78.57575757575755,3372.459032121817,2248.3060214145457,2319.3171061154544
43,78.96969696969695,2248.5905485818184,1499.060365721212,1857.6971980472724
44,76.36363636363636,2966.8820297265456,1977.92135315103,2294.8070824357574
45,77.27272727272728,4130.7731511,2753.8487674000007,2662.7275244878792
46,78.75757575757576,3134.342893503454,2089.5619290023033,1924.194124187879
47,74.93939393939395,3575.5326808181812,2383.6884538787886,2459.5995737181815
48,78.84848484848487,3076.4770590400003,2050.984706026667,2240.8707645000004
49,78.57575757575759,2237.1117063618185,1491.407804241212,1857.109483979697
50,78.00000000000003,4582.012751183637,3054.6751674557577,3001.2269407000003
51,78.8787878787879,2865.3576374945446,1910.2384249963632,2034.7434357087882
52,76.87878787878786,4359.159053678182,2906.1060357854544,2531.5167017363633
53,81.15151515151516,2746.0140781054547,1830.676052070303,2120.975687227273
54,78.00000000000003,3301.5797663109092,2201.053177540607,2171.598654821212
55,80.48484848484851,3359.6819506454544,2239.78796709697,2266.454363772727
56,76.57575757575759,3521.431855872727,2347.6212372484856,2330.558062630303
57,75.06060606060606,3200.7821195363626,2133.854746357576,2310.1643575939397
58,79.4848484848485,3000.4781782727277,2000.3187855151514,2059.35930059394
59,75.99999999999999,3274.9754366727266,2183.3169577818185,2229.8070182021206
60,81.57575757575759,3599.552091003637,2399.701394002425,2134.8771560136365
61,75.03030303030302,2927.2530143636363,1951.502009575758,2297.6056400818184
62,79.84848484848484,3431.440882964727,2287.627255309819,2269.595913792727
63,77.72727272727272,2769.312772582,1846.208515054667,2082.836265460303
64,78.18181818181817,2358.9925611054546,1572.6617074036367,1922.565236775758
65,77.54545454545455,2830.2299657490908,1886.8199771660609,2111.79565229394
66,78.0909090909091,2743.512841709091,1829.008561139394,2092.843866551515
67,76.09090909090911,2753.6527483079994,1835.7684988720002,2120.0032766172726
68,81.3939393939394,2384.280177702,1589.5201184680002,1730.9464454896968
69,77.0909090909091,3710.151038205636,2473.4340254704234,2425.397944488485
70,79.3939393939394,4053.5340218072733,2702.356014538182,2370.8115036278787
71,78.7272727272727,3345.5629265581815,2230.3752843721213,2095.3725775666667
72,76.15151515151513,3607.8804578363633,2405.253638557576,2446.544667257576
73,80.12121212121214,2438.482697773091,1625.6551318487275,1704.9297695175762
74,79.27272727272725,2901.734041056545,1934.4893607043634,2006.4717438021212
75,75.72727272727273,3311.137403738182,2207.4249358254547,2309.230033342424
76,77.36363636363637,3354.0868792127276,2236.057919475152,2331.0973459151514
77,80.93939393939392,2361.1929145818176,1574.1286097212126,1771.4240389293936
78,79.06060606060605,2370.793354290909,1580.5289028606062,1890.3711133606062
